playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Vyti,21075,'~Eskabar T2 missile',SV,[Private 1135]          ,621,110,-3123.6 108.0583 -2651.755,8.018017 176.7186 27.0229,True,True,False,4/27/2020 12:58:00 PM,4332090,'dmytro.cheva',76561198412322587,4/27/2020 12:58:00 PM,4332090,
Vyti,21075,'~Eskabar T2 missile',SV,[Private 1135]          ,621,110,-3123.479 107.4819 -2652.591,359.0698 178.1308 27.11676,True,True,False,4/27/2020 12:58:12 PM,4332194,'dmytro.cheva',76561198412322587,4/27/2020 12:58:12 PM,4332194,
Vyti,21075,'~Eskabar T2 missile',SV,[Private 1135]          ,621,110,-3123.51 107.4862 -2652.572,359.146 177.6294 27.12489,True,True,False,4/27/2020 12:58:21 PM,4332253,'dmytro.cheva',76561198412322587,4/27/2020 12:58:22 PM,4332253,
Vyti,21075,'~Eskabar T2 missile',SV,[Private 1135]          ,621,110,-2633.687 86.53548 -369.1316,6.150057 37.09622 5.975882,True,True,False,4/28/2020 2:36:45 PM,4346651,'dmytro.cheva',76561198412322587,4/28/2020 2:36:46 PM,4346652,
Vyti,21075,'~Eskabar T2 missile',SV,[Private 1135]          ,621,110,-1333.572 92.39463 -1972.822,8.031619 148.9382 359.9029,True,True,True,4/28/2020 2:41:33 PM,4391176,'dmytro.cheva',76561198412322587,4/28/2020 2:46:07 PM,4396655,
Vyti,21075,'~Eskabar T2 missile',SV,[Private 1135]          ,621,110,-6681.4 391.6164 -3663.991,283.2352 68.18787 347.5854,True,True,True,4/28/2020 2:41:33 PM,4391176,'dmytro.cheva',76561198412322587,4/28/2020 3:03:43 PM,4412373,
Vyti,21075,'~Eskabar T2 missile',SV,[Private 1135]          ,621,110,-6546.139 1096.241 -3576.354,283.2352 68.18787 347.5854,True,True,True,4/28/2020 2:41:33 PM,4391176,'dmytro.cheva',76561198412322587,4/28/2020 3:04:03 PM,4412614,
Vyti Orbit,21075,'~Eskabar T2 missile',SV,[Private 1135]          ,621,110,-776.2117 -315.5971 -3962.641,12.89012 328.8548 352.8187,True,True,True,4/28/2020 3:06:26 PM,4415490,'dmytro.cheva',76561198412322587,4/28/2020 3:11:13 PM,4421229,
Vyti Orbit,21075,'~Eskabar T2 missile',SV,[Private 1135]          ,621,110,3243.71 -3241.969 3449.445,60.58845 99.41798 29.23844,True,True,True,4/28/2020 3:06:26 PM,4415490,'dmytro.cheva',76561198412322587,4/28/2020 3:22:36 PM,4434715,
Vyti Orbit,21075,'~Eskabar T2 missile',SV,[Private 1135]          ,621,110,3928.849 -4520.189 3392.617,60.56979 99.41467 29.23479,True,True,True,4/28/2020 3:06:26 PM,4415490,'dmytro.cheva',76561198412322587,4/28/2020 3:22:58 PM,4435027,
Aestornia Orbit,21075,'~Eskabar T2 missile',SV,[Private 1135]          ,621,110,-4877.992 8355.493 523.3129,1.735818 304.0417 247.3291,True,True,True,4/28/2020 3:06:26 PM,4415490,'dmytro.cheva',76561198412322587,4/28/2020 3:24:07 PM,4436369,
Renexi Tau Station,21075,'~Eskabar T2 missile',SV,[Private 1135]          ,621,110,8834.461 1034.84 -6126.521,11.42949 238.7543 351.5638,True,True,True,4/28/2020 3:06:26 PM,4415490,'dmytro.cheva',76561198412322587,4/28/2020 3:26:19 PM,4439006,
Renexi Tau Station,21075,'~Eskabar T2 missile',SV,[Private 1135]          ,621,110,-3583.668 -614.9636 -13586.94,13.15435 12.59594 9.42776,True,True,True,4/28/2020 3:06:26 PM,4415490,'dmytro.cheva',76561198412322587,4/28/2020 3:30:41 PM,4444093,
Nandan Orbit,21075,'~Eskabar T2 missile',SV,[Private 1135]          ,621,110,498.5108 981.4279 -3966.472,20.28337 7.443645 42.68983,True,True,True,4/28/2020 3:06:26 PM,4415490,'dmytro.cheva',76561198412322587,4/28/2020 3:33:12 PM,4447093,
Nandan,21075,'~Eskabar T2 missile',SV,[Private 1135]          ,621,110,9010.352 1095.807 2761.478,284.955 108.7854 11.59298,True,True,True,4/28/2020 3:06:26 PM,4415490,'dmytro.cheva',76561198412322587,4/28/2020 3:36:58 PM,4451601,
Nandan Orbit,21075,'~Eskabar T2 missile',SV,[Private 1135]          ,621,110,3553.044 5438.527 6339.971,353.6639 24.15567 329.0222,True,True,True,4/28/2020 3:06:26 PM,4415490,'dmytro.cheva',76561198412322587,4/28/2020 3:38:00 PM,4452827,
Gopal Xi Station,21075,'~Eskabar T2 missile',SV,[Private 1135]          ,621,110,-2301.542 -1129.593 -10518.25,10.67559 186.534 267.0836,True,True,True,4/28/2020 3:06:26 PM,4415490,'dmytro.cheva',76561198412322587,4/28/2020 3:39:02 PM,4454067,
