playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1769,147,-256.532 80.00009 582.8571,-0.004915998 181.4704 -4.775656E-05,True,False,True,4/13/2020 9:33:02 AM,704252,'dmytro.cheva',76561198412322587,4/13/2020 9:35:33 AM,707277,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1759,137,-257.4228 80.00446 579.9956,0.002135468 83.77702 -0.001455879,True,False,True,4/13/2020 10:14:17 AM,753703,'dmytro.cheva',76561198412322587,4/13/2020 10:16:05 AM,755856,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1759,137,-257.4228 80.00446 579.9956,0.002135468 83.77702 -0.001455879,True,False,True,4/13/2020 10:14:17 AM,753703,'dmytro.cheva',76561198412322587,4/13/2020 10:32:43 AM,767414,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1786,137,-257.4228 80.00446 579.9956,0.002135468 83.77702 -0.001455879,True,False,True,4/13/2020 11:10:20 AM,805055,'dmytro.cheva',76561198412322587,4/13/2020 11:48:51 AM,851254,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1786,137,-257.4228 80.00446 579.9956,0.002135468 83.77702 -0.001455879,True,False,True,4/13/2020 11:53:13 AM,856413,'dmytro.cheva',76561198412322587,4/13/2020 1:44:48 PM,985178,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1786,137,-257.4228 80.00446 579.9956,0.002135468 83.77702 -0.001455879,True,False,True,4/13/2020 11:53:13 AM,856413,'dmytro.cheva',76561198412322587,4/13/2020 1:51:11 PM,988398,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1786,137,-257.4228 80.00446 579.9956,0.002135468 83.77702 -0.001455879,True,False,True,4/13/2020 11:53:13 AM,856413,'dmytro.cheva',76561198412322587,4/13/2020 1:51:21 PM,988543,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1786,137,-257.4228 80.00446 579.9956,0.002135468 83.77702 -0.001455879,True,False,True,4/13/2020 11:53:13 AM,856413,'dmytro.cheva',76561198412322587,4/13/2020 1:51:53 PM,989131,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1786,137,-259.8837 280.3098 579.3423,0.0002450302 176.8066 0.05657018,True,True,False,4/14/2020 6:20:22 PM,2204070,'dmytro.cheva',76561198412322587,4/14/2020 6:20:22 PM,2204070,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1773,137,1416.187 162.9798 -1398.22,8.44323 53.56404 359.4507,True,True,False,4/14/2020 6:45:18 PM,2233928,'dmytro.cheva',76561198412322587,4/14/2020 6:45:18 PM,2233928,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1773,137,1926.268 139.4804 -855.6758,20.17175 175.2994 0.5798607,True,True,False,4/14/2020 6:59:09 PM,2250431,'dmytro.cheva',76561198412322587,4/14/2020 6:59:09 PM,2250432,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1773,137,-257.2247 80.00183 581.3876,0.0001420936 269.4509 -0.001503452,True,True,True,4/14/2020 7:47:24 PM,2299083,'dmytro.cheva',76561198412322587,4/14/2020 7:47:24 PM,2299083,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1777,137,-263.4573 80.10513 580.0863,359.5732 269.3542 358.8597,True,False,True,4/14/2020 8:51:50 PM,2376317,'dmytro.cheva',76561198412322587,4/14/2020 8:53:03 PM,2377780,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1777,137,-263.4573 80.10513 580.0863,359.5732 269.3542 358.8597,True,False,True,4/14/2020 9:39:57 PM,2429356,'dmytro.cheva',76561198412322587,4/14/2020 9:43:17 PM,2433342,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1777,137,-263.4573 80.10513 580.0863,359.5732 269.3542 358.8597,True,False,True,4/14/2020 10:31:07 PM,2480355,'dmytro.cheva',76561198412322587,4/14/2020 10:38:51 PM,2489631,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1777,137,-263.4573 80.10513 580.0863,359.5732 269.3542 358.8597,True,False,True,4/14/2020 10:43:51 PM,2494208,'dmytro.cheva',76561198412322587,4/14/2020 11:10:08 PM,2525749,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1777,137,-263.4573 80.10513 580.0863,359.5732 269.3542 358.8597,True,True,True,4/15/2020 2:42:07 AM,2765465,'dmytro.cheva',76561198412322587,4/15/2020 2:42:07 AM,2765466,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1777,137,-263.4573 80.10513 580.0863,359.5732 269.3542 358.8597,True,True,True,4/15/2020 3:12:41 AM,2802069,'dmytro.cheva',76561198412322587,4/15/2020 3:19:41 AM,2810471,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1777,137,-263.4573 80.10513 580.0863,359.5732 269.3542 358.8597,True,True,True,4/15/2020 3:12:41 AM,2802069,'dmytro.cheva',76561198412322587,4/15/2020 3:22:09 AM,2813348,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1777,137,-263.4573 80.10513 580.0863,359.5732 269.3542 358.8597,True,True,True,4/15/2020 3:12:41 AM,2802069,'dmytro.cheva',76561198412322587,4/15/2020 3:30:20 AM,2814905,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1777,137,-263.4573 80.10513 580.0863,359.5732 269.3542 358.8597,True,True,True,4/15/2020 3:32:03 AM,2816915,'dmytro.cheva',76561198412322587,4/15/2020 4:24:16 AM,2879571,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1777,137,-263.4573 80.10513 580.0863,359.5732 269.3542 358.8597,True,True,True,4/15/2020 3:32:03 AM,2816915,'dmytro.cheva',76561198412322587,4/15/2020 4:59:36 AM,2921896,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1777,137,-263.4573 80.10513 580.0863,359.5732 269.3542 358.8597,True,True,True,4/15/2020 3:32:03 AM,2816915,'dmytro.cheva',76561198412322587,4/15/2020 8:21:19 AM,3141961,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1777,137,-263.4573 80.10513 580.0863,359.5732 269.3542 358.8597,True,True,True,4/15/2020 8:30:16 AM,3152656,'dmytro.cheva',76561198412322587,4/15/2020 8:45:41 AM,3281061,
Lelotud,5656,'Merc-MX10',SV,[Private 1136]          ,1777,137,-263.4573 80.10513 580.0863,359.5732 269.3542 358.8597,True,True,True,4/15/2020 8:30:16 AM,3152656,'dmytro.cheva',76561198412322587,4/15/2020 9:33:14 AM,3338055,
